level,origin_type,origin_name,filename,relative_path,source_filename,classification_basis,asset_status,resolution,color_mode
05,B04-CUL,Culinary,aachat-level-05-b04-cul-cand-06-02-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-06-02-256.png,aachat-phase4-cand-06-02-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-06-03-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-06-03-256.png,aachat-phase4-cand-06-03-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B03-FLO,Flora_&_Fungi,aachat-level-05-b03-flo-cand-06-04-256.png,B03-FLO__Flora_&_Fungi/aachat-level-05-b03-flo-cand-06-04-256.png,aachat-phase4-cand-06-04-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B05-MEC,Machine,aachat-level-05-b05-mec-cand-06-05-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-06-05-256.png,aachat-phase4-cand-06-05-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B08-NAT,Nature_&_Element,aachat-level-05-b08-nat-cand-06-06-256.png,B08-NAT__Nature_&_Element/aachat-level-05-b08-nat-cand-06-06-256.png,aachat-phase4-cand-06-06-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B07-MAT,Material_&_Mineral,aachat-level-05-b07-mat-cand-06-07-256.png,B07-MAT__Material_&_Mineral/aachat-level-05-b07-mat-cand-06-07-256.png,aachat-phase4-cand-06-07-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-06-08-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-06-08-256.png,aachat-phase4-cand-06-08-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B10-ANO,Secret_Anomaly,aachat-level-05-b10-ano-cand-06-09-256.png,B10-ANO__Secret_Anomaly/aachat-level-05-b10-ano-cand-06-09-256.png,aachat-phase4-cand-06-09-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-06-10-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-06-10-256.png,aachat-phase4-cand-06-10-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B01-HUM,Humanoid,aachat-level-05-b01-hum-cand-06-11-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-06-11-256.png,aachat-phase4-cand-06-11-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B07-MAT,Material_&_Mineral,aachat-level-05-b07-mat-cand-06-12-256.png,B07-MAT__Material_&_Mineral/aachat-level-05-b07-mat-cand-06-12-256.png,aachat-phase4-cand-06-12-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-06-13-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-06-13-256.png,aachat-phase4-cand-06-13-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B07-MAT,Material_&_Mineral,aachat-level-05-b07-mat-cand-06-14-256.png,B07-MAT__Material_&_Mineral/aachat-level-05-b07-mat-cand-06-14-256.png,aachat-phase4-cand-06-14-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B03-FLO,Flora_&_Fungi,aachat-level-05-b03-flo-cand-06-15-256.png,B03-FLO__Flora_&_Fungi/aachat-level-05-b03-flo-cand-06-15-256.png,aachat-phase4-cand-06-15-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B04-CUL,Culinary,aachat-level-05-b04-cul-cand-06-16-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-06-16-256.png,aachat-phase4-cand-06-16-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B05-MEC,Machine,aachat-level-05-b05-mec-cand-06-17-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-06-17-256.png,aachat-phase4-cand-06-17-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B10-ANO,Secret_Anomaly,aachat-level-05-b10-ano-cand-06-18-256.png,B10-ANO__Secret_Anomaly/aachat-level-05-b10-ano-cand-06-18-256.png,aachat-phase4-cand-06-18-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B01-HUM,Humanoid,aachat-level-05-b01-hum-cand-06-19-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-06-19-256.png,aachat-phase4-cand-06-19-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
